Cód. Agente;Nome Empresarial;Cód. Perfil;Sigla;jan/23;fev/23;mar/23;abr/23;mai/23;jun/23
92494;DIFFUCAP;48348;DIFFUCAP CL 514;0,009;0,010;0,005;0,005;0,005;0,004
92779;MJB;48350;MJB CL 514;;;;0,020;;0,018
92442;RR TEXTIL;48354;RR TEXTIL CL 514;0,125;;;;;
92541;TUPAN INDUSTRIA;48358;TUPAN INDUSTRIA CL 514;0,007;;0,005;0,004;;
92606;PESCAL;48360;PESCAL CL 514;;;;;;0,065
92733;ECOPLASTICO;48364;ECOPLASTICO CL 514;;;;0,007;;
93477;FUNDICAO BOM SUCESSO;48392;FUNDICAO BOM SUCESSO CL 514;0,016;;;0,021;;0,009
92893;SENBRA MADEIRAS;48396;SENBRA MADEIRAS CL 514;0,057;0,064;0,040;0,042;;
93369;GRANJA IPE AVICULTURA;48406;GRANJA IPE AVICULTURA CL 514;;;0,048;;;
93525;AGUAS PRATA MATRIZ;48409;AGUAS PRATA MATRIZ CL 514;;;;;;0,017
93585;GENCAU PARA;48411;GENCAU PARA CL 514;;;;;;0,030
93869;ENPLA;48424;ENPLA CL 514;0,050;0,031;0,014;0,028;0,022;0,041
93210;STYLL BABY ESP;48437;STYLL BABY NESP;;;;;;0,046
93462;BRASIMET ARAQUARI;48446;BRASIMET ARAQUARI CL 514;0,029;0,014;0,007;0,007;0,007;0,007
93558;SUPER KIBARATO;48450;SUPER KIBARATO CL 514;;;;;0,009;0,026
93758;C CL PATIO CIDADE;48459;C CL PATIO CIDADE;;;;;;0,007
93974;PLASPAK;48464;PLASPAK CL 514;0,024;;;;0,013;0,022
94059;GRASP;48467;GRASP CL 514;;;0,045;0,096;;
93806;PROLOGIS CAXIAS;48475;PROLOGIS CAXIAS CL 514;0,036;0,035;;0,040;0,039;0,043
94000;FORTE PLASTICOS;48481;FORTE PLASTICOS CL 514;;;0,028;0,036;0,013;0,020
94262;CIRCULO MILITAR;48485;CIRCULO MILITAR CL 514;0,023;;;0,022;0,008;0,017
94379;SANITO;48487;SANITO CL 514;;;0,016;;;
93896;PROJETO ALUMINIO;48494;PROJETO ALUMINIO CL 514;0,031;0,073;;0,055;;
94568;VALOREN;48498;VALOREN CL 514;0,084;;;;0,120;0,148
94991;UNIAO BOSCATTI;48502;UNIAO BOSCATTI CL 514;;0,002;;;;
94724;COPRIMAR;48515;COPRIMAR CL 514;0,050;0,051;0,101;0,089;0,040;0,071
94756;MADEPALLET IND;48520;MADEPALLET IND CL 514;;0,138;0,150;0,042;;
94928;SILIGEL CL 514;48530;SILIGEL CL 514;0,008;0,024;0,019;;;
94717;SERRARIA KATZER;48535;SERRARIA KATZER CL 514;0,065;;;;;
95966;LOMBA GRANDE;48548;LOMBA GRANDE CL 514;0,023;0,023;0,023;;;
95239;CAPEMI;48561;CAPEMI CL 514;0,035;0,045;0,027;0,054;0,050;0,106
95455;IRRITEC ESP;48562;IRRITEC NESP;0,047;;;0,028;;
95901;COFCO NV SANTA HELENA;48573;COFCO NV SANTA HELENA CL 514;;;;;0,020;
96438;YACHIYO;48581;YACHIYO CL 514;0,048;0,042;0,059;0,072;0,071;0,072
96469;FRANGOS Q DELICIA;48582;FRANGOS Q DELICIA CL 514;;0,030;0,038;;;
95945;COFCO CANARANA;48595;COFCO CANARANA CL 514;;;;;0,013;
96259;PETTRUS MATRIZ;48597;PETTRUS MATRIZ CL 514;0,054;0,065;0,030;0,028;;0,022
96966;PERFILPLAST;48625;PERFILPLAST CL 514;;;0,015;0,033;0,033;0,032
97044;COMAN;48628;COMAN CL 514;0,027;;0,014;0,016;;0,012
98651;COFCO GRAINS SORRISO I;48652;COFCO GRAINS SORRISO I CL 514;;;;;0,007;
97200;VINIPLAST;48656;VINIPLAST CL 514;0,005;0,006;0,006;0,034;0,016;0,014
99012;C CL DINPLAL PLASTICOS;48699;C CL DINPLAL PLASTICOS;0,079;;0,054;0,056;0,054;0,093
99072;DISMAT CL 514;48700;DISMAT CL 514;0,013;;;;;
99073;SUSIVAL CL 514;48701;SUSIVAL CL 514;0,002;;;0,005;;
55584;CEREALISTA VISTA ALEGRE;48719;CEREALISTAVISTAALEGRECL514;;;;;;0,050
70315;SHOP PRACA NOVA SANTA MARIA;48727;SHOPPRACANOVASANTAMARIACL514;;;;;;0,039
77831;C CL ALPES PRODUTOS QUIMICOS;48731;C CL ALPES PRODUTOS QUIMICOS;;;;;;0,043
101559;CHARRUA GAS;48742;CHARRUA GAS CL 514;0,079;0,068;0,067;0,077;0,067;0,071
66052;C CL TINTURARIA SANTA TEREZA;48750;C CL TINTURARIA SANTA TEREZA;0,017;0,030;;0,042;;0,028
69721;C CL CERAMICA SANTA CRUZ;48751;C CL CERAMICA SANTA CRUZ;;;;0,058;;
68316;SIDERURGICA SAO JOAQUIM;48755;SIDERURGICASAOJOAQUIMCL514;0,026;;;0,039;;
73084;ZINCAGEM MARTINS MATRIZ;48760;ZINCAGEMMARTINSMATRIZCL514;0,140;0,106;;;;
76680;CONDOMINIO EDIFICIO ARCEL;48761;CONDOMINIOEDIFICIOARCELCL514;0,007;0,007;;0,016;;0,005
70853;C CL GUISA PARTICIPACOES;48776;C CL GUISA PARTICIPACOES;0,076;0,076;0,076;0,076;0,076;0,076
75645;C CL RAMINELLI PET FOOD;48782;C CL RAMINELLI PET FOOD;;;;;0,390;0,403
77811;C CL FUNDICAO RELAMPAGO;48786;C CL FUNDICAO RELAMPAGO;;;;;;0,080
